# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Fri Jan 23 16:53:37 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Euclid VIS+NISP (ABmags)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  VISmag  Ymag    Bluemag  Jmag    Redmag  Hmag
0.0002 -1.89055 10.00000 0.0900000036 1.4676543549    0.090 -3.205  3.4872  5.498    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.66e-17      0.00 7.488e-01 2.510e-01 3.596e-05 9.702e-06 8.799e-05 -1.000 2.000e-04 12.782 13.182 11.948 11.914 11.731 11.764 11.890
0.0002 -1.89055 10.00000 0.0904410109 1.4724080335    0.090 -3.187  3.4899  5.493    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.88e-17      0.00 7.487e-01 2.511e-01 3.596e-05 9.702e-06 8.799e-05 -1.000 1.999e-04 12.737 13.128 11.911 11.877 11.694 11.723 11.843
0.0002 -1.89055 10.00000 0.0971364304 1.5420090637    0.097 -2.925  3.5284  5.416    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.38e-17      0.00 7.472e-01 2.526e-01 3.596e-05 9.702e-06 8.799e-05 -1.000 2.000e-04 12.084 12.335 11.355 11.326 11.149 11.137 11.192
0.0002 -1.89055 10.00000 0.1000000015 1.5704020300    0.100 -2.819  3.5441  5.386    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-16      0.00 7.466e-01 2.532e-01 3.596e-05 9.702e-06 8.799e-05 -1.000 2.000e-04 11.819 12.011 11.122 11.096 10.929 10.909 10.950
0.0002 -1.89055 10.00000 0.1199999973 1.7478251425    0.120 -2.525  3.5748  5.293    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.45e-16      0.00 7.438e-01 2.560e-01 3.596e-05 9.702e-06 8.800e-05 -1.000 1.999e-04 11.082 11.172 10.434 10.412 10.274 10.250 10.279
0.0002 -1.89055 10.00000 0.1400000006 1.8958494754    0.140 -2.342  3.5896  5.236    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.69e-16      0.00 7.419e-01 2.579e-01 3.596e-05 9.703e-06 8.800e-05 -1.000 2.001e-04 10.624 10.657 9.983 9.964 9.841 9.820 9.851
0.0002 -1.89055 10.00000 0.1599999964 2.0211524514    0.160 -2.199  3.5991  5.190    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.05e-16      0.00 7.406e-01 2.592e-01 3.596e-05 9.703e-06 8.800e-05 -1.000 1.999e-04 10.268 10.258 9.640 9.623 9.513 9.493 9.522
0.0002 -1.89055 10.00000 0.2000000179 2.2217823660    0.200 -1.979  3.6113  5.115    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.16e-16      0.00 7.396e-01 2.602e-01 3.596e-05 9.703e-06 8.800e-05 -1.000 2.000e-04 9.717 9.687 9.114 9.100 8.997 8.978 9.006
0.0002 -1.89055 10.00000 0.2500000000 2.4080900156    0.250 -1.776  3.6223  5.053    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.25e-15      0.00 7.397e-01 2.601e-01 3.596e-05 9.703e-06 8.800e-05 -1.000 2.000e-04 9.210 9.163 8.629 8.617 8.522 8.504 8.533
0.0002 -1.89055 10.00000 0.3000000417 2.5475041333    0.300 -1.620  3.6314  5.013    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-15      0.00 7.399e-01 2.599e-01 3.595e-05 9.704e-06 8.800e-05 -1.000 2.001e-04 8.820 8.758 8.258 8.247 8.159 8.145 8.177
