# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Fri Jan 28 21:25:45 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: LSST ugrizy, July 2019 total filter throughputs for DP0 (all ABmags)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    ymag
0.0002 -1.89055 10.00000 0.0900000036 1.4676543474    0.090 -3.205  3.4872  5.498    1  0.000  0.545     0.00     0.00 -1 -4.66e-17      0.00 7.488e-01 2.510e-01 3.596e-05 9.702e-06 8.799e-05 -1.000 2.000e-04 12.782 21.458 15.920 14.209 12.839 12.366 12.150
0.0002 -1.89055 10.00000 0.0904410109 1.4724080563    0.090 -3.187  3.4899  5.493    1  0.000  0.545     0.00     0.00 -1 -4.88e-17      0.00 7.487e-01 2.511e-01 3.596e-05 9.702e-06 8.799e-05 -1.000 1.999e-04 12.737 21.259 15.827 14.124 12.789 12.325 12.110
0.0002 -1.89055 10.00000 0.0971364304 1.5420091152    0.097 -2.925  3.5284  5.416    1  0.000  0.545     0.00     0.00 -1 -9.38e-17      0.00 7.472e-01 2.526e-01 3.596e-05 9.702e-06 8.799e-05 -1.000 2.000e-04 12.084 18.551 14.523 12.954 12.064 11.704 11.509
0.0002 -1.89055 10.00000 0.1000000015 1.5704020262    0.100 -2.819  3.5441  5.386    1  0.000  0.545     0.00     0.00 -1 -1.22e-16      0.00 7.466e-01 2.532e-01 3.596e-05 9.702e-06 8.799e-05 -1.000 2.000e-04 11.819 17.610 14.026 12.525 11.767 11.442 11.258
0.0002 -1.89055 10.00000 0.1199999973 1.7478251457    0.120 -2.525  3.5748  5.293    1  0.000  0.545     0.00     0.00 -1 -2.45e-16      0.00 7.438e-01 2.560e-01 3.596e-05 9.702e-06 8.800e-05 -1.000 1.999e-04 11.082 15.815 12.890 11.552 10.970 10.703 10.541
0.0002 -1.89055 10.00000 0.1400000006 1.8958495855    0.140 -2.342  3.5896  5.236    1  0.000  0.545     0.00     0.00 -1 -3.69e-16      0.00 7.419e-01 2.579e-01 3.596e-05 9.703e-06 8.800e-05 -1.000 2.001e-04 10.624 14.728 12.212 10.992 10.473 10.226 10.076
0.0002 -1.89055 10.00000 0.1599999964 2.0211524963    0.160 -2.199  3.5991  5.190    1  0.000  0.545     0.00     0.00 -1 -5.05e-16      0.00 7.406e-01 2.592e-01 3.596e-05 9.703e-06 8.800e-05 -1.000 1.999e-04 10.268 13.852 11.665 10.559 10.087 9.859 9.721
0.0002 -1.89055 10.00000 0.2000000179 2.2217824459    0.200 -1.979  3.6113  5.115    1  0.000  0.545     0.00     0.00 -1 -8.16e-16      0.00 7.396e-01 2.602e-01 3.596e-05 9.703e-06 8.800e-05 -1.000 2.000e-04 9.717 13.060 10.994 9.966 9.526 9.314 9.187
0.0002 -1.89055 10.00000 0.2500000000 2.4080901146    0.250 -1.776  3.6223  5.053    1  0.000  0.545     0.00     0.00 -1 -1.25e-15      0.00 7.397e-01 2.601e-01 3.596e-05 9.703e-06 8.800e-05 -1.000 2.000e-04 9.210 12.343 10.380 9.421 9.008 8.812 8.695
0.0002 -1.89055 10.00000 0.3000000417 2.5475041866    0.300 -1.620  3.6314  5.013    1  0.000  0.545     0.00     0.00 -1 -1.72e-15      0.00 7.399e-01 2.599e-01 3.595e-05 9.704e-06 8.800e-05 -1.000 2.001e-04 8.820 11.789 9.907 8.999 8.610 8.427 8.318
